Seconds,Volts
12671,11.5385819481
12701,11.6016343085
12731,11.4755295878
12761,11.4881400598
12791,11.513361004
12821,11.6016343085
12851,11.4881400598
12881,11.5259714761
12911,11.513361004
12942,11.5385819481
12972,11.4755295878
13002,11.5764133644
13032,11.4881400598
13062,11.5890238364
13092,11.4629191157
13122,11.4629191157
13152,11.4755295878
13182,11.4629191157
13212,11.5638028923
13242,11.5890238364
13272,11.5259714761
13302,11.5638028923
13332,11.5007505319
13362,11.4503086436
13392,11.4503086436
13422,11.4629191157
13452,11.5511924202
13482,11.4376981715
13512,11.5007505319
13542,11.4503086436
13572,11.4881400598
13602,11.4629191157
13632,11.4755295878
13662,11.4376981715
13692,11.4376981715
13722,11.5511924202
13752,11.5385819481
13782,11.5511924202
13812,11.4250876995
13842,11.5511924202
13872,11.4503086436
13902,11.5259714761
13932,11.4376981715
13962,11.4881400598
13993,11.4629191157
14023,11.4250876995
14053,11.4250876995
14083,11.513361004
14113,11.513361004
14143,11.513361004
14173,11.4503086436
14203,11.4124772274
14233,11.513361004
14263,11.4881400598
14293,11.5259714761
14323,11.4503086436
14353,11.4124772274
14383,11.4376981715
14413,11.4376981715
14443,11.5259714761
14473,11.3998667553
14503,11.4503086436
14533,11.4124772274
14563,11.4755295878
14593,11.3998667553
14623,11.513361004
14653,11.5007505319
14683,11.4881400598
14713,11.4124772274
14743,11.5007505319
14773,11.4755295878
14803,11.5007505319
14833,11.4124772274
14863,11.4376981715
14893,11.4881400598
14923,11.4881400598
14953,11.4376981715
14983,11.5007505319
15013,11.4629191157
15043,11.5007505319
15073,11.4124772274
15104,11.4503086436
15134,11.3746458112
15164,11.4503086436
15194,11.4629191157
15224,11.4629191157
15254,11.3872562832
15284,11.3746458112
15314,11.4124772274
15344,11.4124772274
15374,11.3746458112
15404,11.4376981715
15434,11.3872562832
15464,11.4124772274
15494,11.4250876995
15524,11.4755295878
15554,11.3620353391
15584,11.4503086436
15614,11.4755295878
15644,11.3620353391
15674,11.4629191157
15704,11.3746458112
15734,11.4124772274
15764,11.4503086436
15794,11.4124772274
15824,11.3620353391
15854,11.4124772274
15884,11.4250876995
15914,11.4376981715
15944,11.3872562832
15974,11.4503086436
16004,11.3620353391
16034,11.4124772274
16064,11.4250876995
16094,11.349424867
16124,11.349424867
16154,11.3368143949
16184,11.4376981715
16215,11.3368143949
16245,11.4376981715
16275,11.4376981715
16305,11.349424867
16335,11.3368143949
16365,11.4124772274
16395,11.349424867
16425,11.3746458112
16455,11.4503086436
16485,11.3998667553
16515,11.3242039229
16545,11.4376981715
16575,11.3998667553
16605,11.4376981715
16635,11.3998667553
16665,11.4124772274
16695,11.3368143949
16725,11.4250876995
16755,11.3620353391
16785,11.4250876995
16815,11.3872562832
16845,11.349424867
16875,11.4124772274
16905,11.3872562832
16935,11.4250876995
16965,11.3115934508
16995,11.3115934508
17025,11.3620353391
17055,11.4250876995
17085,11.349424867
17115,11.349424867
17145,11.4124772274
17175,11.3998667553
17205,11.2989829787
17235,11.3242039229
17265,11.3368143949
17295,11.2989829787
17325,11.2989829787
17355,11.3242039229
17386,11.2989829787
17416,11.3368143949
17446,11.349424867
17476,11.3746458112
17506,11.2989829787
17536,11.3620353391
17566,11.3368143949
17596,11.3746458112
17626,11.3620353391
17656,11.2989829787
17686,11.3998667553
17716,11.2863725066
17746,11.3872562832
17776,11.2989829787
17806,11.3242039229
17836,11.3115934508
17866,11.3242039229
17896,11.349424867
17926,11.3872562832
17956,11.2863725066
17986,11.349424867
18016,11.3242039229
18046,11.3620353391
18076,11.3115934508
18106,11.349424867
18136,11.2863725066
18166,11.2863725066
18196,11.2989829787
18226,11.349424867
18256,11.2737620346
18286,11.2863725066
18316,11.2989829787
18346,11.349424867
18376,11.2989829787
18406,11.2737620346
18437,11.2737620346
18467,11.349424867
18497,11.349424867
18527,11.2485410904
18557,11.2611515625
18587,11.2989829787
18617,11.2611515625
18647,11.2737620346
18677,11.3242039229
18707,11.2485410904
18737,11.3368143949
18767,11.2989829787
18797,11.3115934508
18827,11.3242039229
18857,11.2737620346
18887,11.3620353391
18917,11.3620353391
18947,11.2737620346
18977,11.349424867
19007,11.2359306184
19037,11.3368143949
19067,11.2359306184
19097,11.2611515625
19127,11.2359306184
19157,11.2233201463
19187,11.2359306184
19217,11.3242039229
19247,11.2737620346
19277,11.3115934508
19307,11.3368143949
19337,11.3368143949
19367,11.2233201463
19397,11.2233201463
19427,11.2485410904
19458,11.2359306184
19488,11.2485410904
19518,11.2989829787
19548,11.2359306184
19578,11.2737620346
19608,11.3115934508
19638,11.3115934508
19668,11.2737620346
19698,11.2233201463
19728,11.2863725066
19758,11.3115934508
19788,11.2233201463
19818,11.3242039229
19848,11.2863725066
19878,11.3115934508
19908,11.2107096742
19938,11.2989829787
19968,11.3115934508
19998,11.2611515625
20028,11.3115934508
20058,11.2107096742
20088,11.2107096742
20118,11.2485410904
20148,11.2485410904
20178,11.2989829787
20208,11.2863725066
20238,11.2485410904
20268,11.2611515625
20298,11.2485410904
20328,11.2737620346
20358,11.1854887301
20388,11.2611515625
20418,11.2359306184
20448,11.2359306184
20478,11.1854887301
20508,11.2485410904
20539,11.1854887301
20569,11.2737620346
20599,11.172878258
20629,11.2863725066
20659,11.1602677859
20689,11.172878258
20719,11.2233201463
20749,11.1854887301
20779,11.2485410904
20809,11.172878258
20839,11.2737620346
20869,11.2737620346
20899,11.172878258
20929,11.1602677859
20959,11.2233201463
20989,11.172878258
21019,11.1602677859
21049,11.2359306184
21079,11.2485410904
21109,11.2611515625
21139,11.2485410904
21169,11.1350468418
21199,11.2107096742
21229,11.2611515625
21259,11.1350468418
21289,11.1980992021
21319,11.2485410904
21349,11.2233201463
21379,11.1350468418
21409,11.2107096742
