Seconds,Volts
3753,11.9925589428
3783,11.9547275266
3813,11.9042856383
3843,12.0051694149
3873,11.9295065824
3903,11.9421170545
3933,11.9295065824
3963,11.9295065824
3993,11.9925589428
4023,11.9673379987
4053,11.9547275266
4083,11.9295065824
4113,11.8916751662
4143,11.9547275266
4173,11.9295065824
4203,11.9295065824
4233,11.8916751662
4263,11.8916751662
4293,11.9295065824
4324,11.9295065824
4354,11.9295065824
4384,11.9295065824
4414,11.9421170545
4444,11.9799484707
4474,12.0051694149
4504,11.9799484707
4534,11.8916751662
4564,11.9925589428
4594,11.9799484707
4624,11.9295065824
4654,11.9799484707
4684,11.9673379987
4714,11.9799484707
4744,11.9547275266
4774,11.9547275266
4804,11.9421170545
4834,11.9042856383
4864,11.9168961104
4894,11.9925589428
4924,11.9799484707
4954,11.9421170545
4984,11.9421170545
5014,11.9421170545
5044,11.9421170545
5074,11.9295065824
5104,11.9673379987
5134,11.9168961104
5164,11.9673379987
5194,11.9168961104
5224,11.9295065824
5254,11.9799484707
5284,11.9168961104
5314,11.9925589428
5344,11.9673379987
5374,11.9925589428
5404,11.8916751662
5435,11.9925589428
5465,11.9673379987
5495,11.9799484707
5525,11.9421170545
5555,11.9421170545
5585,11.9547275266
5615,11.9168961104
5645,12.030390359
5675,12.017779887
5705,11.9925589428
5735,11.9925589428
5765,11.9042856383
5795,11.9421170545
5825,11.9925589428
5855,12.017779887
5885,11.9042856383
5915,11.9168961104
5945,11.9673379987
5975,11.9547275266
6005,11.9673379987
6035,11.9042856383
6065,11.9925589428
6095,12.0051694149
6125,11.9295065824
6155,11.9168961104
6185,12.0051694149
6215,11.9421170545
6245,11.9295065824
6275,11.9421170545
6305,11.9799484707
6335,11.9925589428
6365,11.9925589428
6395,11.9295065824
6425,12.017779887
6455,11.9673379987
6486,12.0051694149
6516,12.0051694149
6546,12.030390359
6576,11.9042856383
6606,11.9421170545
6636,11.9168961104
6666,12.0051694149
6696,12.017779887
6726,11.9547275266
6756,11.9295065824
6786,11.9925589428
6816,11.9295065824
6846,12.017779887
6876,11.9799484707
6906,11.9673379987
6936,11.9799484707
6966,12.030390359
6996,12.0051694149
7026,12.030390359
7056,11.9673379987
7086,11.9673379987
7116,11.9799484707
7146,11.9799484707
7176,11.9799484707
7206,11.9168961104
7236,11.9421170545
7266,12.017779887
7296,11.9547275266
7326,11.9295065824
7356,12.030390359
7386,11.9673379987
7416,11.9799484707
7446,11.9421170545
7476,11.9547275266
7506,11.9799484707
7536,11.9925589428
7566,12.030390359
7597,11.9673379987
7627,11.9925589428
7657,11.9168961104
7687,11.9673379987
7717,12.0051694149
7747,11.9295065824
7777,12.0051694149
7807,11.9421170545
7837,11.9547275266
7867,11.9168961104
7897,11.9421170545
7927,11.9673379987
7957,11.9925589428
7987,11.9925589428
8017,12.030390359
8047,11.9925589428
8077,11.9673379987
8107,11.9673379987
8137,11.9295065824
8167,12.0051694149
8197,11.9421170545
8227,11.9295065824
8257,11.9925589428
8287,11.9799484707
8317,11.9673379987
8347,12.0430008311
8377,11.9547275266
8407,11.9799484707
8437,11.9925589428
8467,11.9295065824
8497,12.0051694149
8527,11.9547275266
8557,11.9799484707
8587,12.0051694149
8617,11.9421170545
8648,11.9799484707
8678,11.9295065824
8708,11.9799484707
8738,11.9168961104
8768,11.9421170545
8798,11.9799484707
8828,11.9547275266
8858,11.9547275266
8888,11.9925589428
8918,11.9295065824
8948,12.0051694149
8978,12.017779887
9008,11.9421170545
9038,11.9799484707
9068,11.9547275266
9098,11.9673379987
9128,12.017779887
9158,12.0430008311
9188,12.017779887
9218,11.9799484707
9248,11.9547275266
9278,11.9673379987
9308,12.0051694149
9338,11.9799484707
9368,12.0430008311
9398,11.9799484707
9428,12.017779887
9458,11.9925589428
9488,12.030390359
9518,11.9547275266
9548,11.9547275266
9578,12.0051694149
9608,11.9421170545
9638,12.0051694149
9669,11.9925589428
9699,12.0808322473
9729,12.017779887
9759,12.030390359
9789,11.9673379987
9819,12.017779887
9849,12.017779887
9879,11.9421170545
9909,11.9547275266
9939,11.9295065824
9969,12.030390359
9999,12.0051694149
10029,11.9673379987
10059,11.9799484707
10089,12.017779887
10119,11.9547275266
10149,11.9673379987
10179,12.030390359
10209,12.017779887
10239,11.9925589428
10269,12.0051694149
10299,11.9673379987
10329,11.9673379987
10359,11.9673379987
10389,11.9421170545
10419,12.0430008311
10449,11.9547275266
10479,11.9547275266
10509,11.9421170545
10539,12.017779887
10569,11.9799484707
10599,12.0051694149
10629,12.0430008311
10659,11.9547275266
10689,11.9925589428
10720,11.9295065824
10750,11.9925589428
10780,11.9925589428
10810,11.9673379987
10840,11.9421170545
10870,11.9673379987
10900,12.0682217753
10930,12.0556113032
10960,11.9547275266
10990,11.9799484707
11020,11.9799484707
11050,12.0430008311
11080,12.030390359
11110,11.9547275266
11140,12.030390359
11170,11.9925589428
11200,11.9799484707
11230,11.9421170545
11260,12.030390359
11290,12.017779887
11320,11.9547275266
11350,12.030390359
11380,11.9421170545
11410,12.0051694149
11440,12.0556113032
11470,12.017779887
11500,12.0682217753
11530,11.9547275266
11560,11.9925589428
11590,11.9673379987
